Job Title,Key Skills,Functional Area
 HR Associate, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,"HR , Recruitment , Administration , IR"
 Manager / Sr Manager - Digital Ad Sales - Ecommerce, revenue generation| marketing| ad sales| web technologies,"Sales , Retail , Business Development"
 Architect Junior/ Middle level, co ordination| team management| drafting| loans| online| coordination| quality,"Architecture , Interior Design"
 php developer, English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,IT Software - Other
 Openstack Engineer / Openstack Admin with Ceph Storage, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,"IT Software - Application Programming , Maintenance"
 Sr. Software Engineer, National| Branch| Vice President| J2Ee| Software,"IT Software - Application Programming , Maintenance"
 Software Engineering- Mentor, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design"
 Application Tester, Performance Testing| Software Testing| Manual Testing| Quality Testing,"IT Software - Application Programming , Maintenance"
 Credit Control - Manager / Asst. Manager, Pivot Table| Credit Analysis| Tally ERP| Accounting| VLOOKUP| Finance| Lookup| Advanced Excel| HLOOKUP| Credit Control,Other
 Night Shift - Non Voice / Web Chat - BPO, international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Sales Executive, Innovative| Aggressive,"Hotels , Restaurants"
 Design Engineer Mechanical, Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,"Engineering Design , R&D"
 Android developer, design| android| erp| software| mvc| quality,"IT Software - Application Programming , Maintenance"
 Technical Writer, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,"IT Software - eCommerce , Internet Technologies"
" Pro-Engineer , Matlab ,Ansys", Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,"Engineering Design , R&D"
 Business Development Executive - Kolkata, Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,"Sales , Retail , Business Development"
 Accountant - UK Based Accounting, Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,"Accounts , Finance , Tax , Company Secretary , Audit"
 Opportunity For Current Account RM ||bank || Delhi, Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,"Sales , Retail , Business Development"
 PHP Developer, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,"IT Software - Application Programming , Maintenance"
 Senior Engineering Maintenance Manager For Knitting and ZLD System, zld| Engineering Management| knitting,"Production , Manufacturing , Maintenance"
 Accounting Specialist, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,"Accounts , Finance , Tax , Company Secretary , Audit"
 Manager (Service Operation), ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,"HR , Recruitment , Administration , IR"
 DevOps Engineer Intern, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,"IT Software - Application Programming , Maintenance"
 PHP Developer (wordpress & Woo Commerce/shopify / Magento), C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,"IT Software - Application Programming , Maintenance"
 Java Developer, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,"IT Software - Application Programming , Maintenance"
 Sr. Manager- Business Development, Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal,"Sales , Retail , Business Development"
 Test Principal Engineer, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,IT Software - QA & Testing
